上海鹤奔物流有限公司,"上海鹤奔物流有限公司是专业第三方物物流,整车,零担,全国货运."
上海振隆物流有限公,上海振隆物流有限公司是一家经国家交通、工商、税务部门，签发《道路运输许可证》、《企业经营许可证》、《税务登记证》的综合性物流企业。从事第三方综合物流服务，包括仓储、运输、配送、信息咨询及物流设计等内容的专业物流企业。为更好地服务于社会满足您运输的需要，本公司在全国各地大中城市都设有相应的办事处。并配置了网络跟踪业务，每票业务皆有经验丰富的专业职员负责，全程上门服务一票到底，本公司将以最优惠的价格，更完善周到的服务来赢得您的支持和信赖，使您稳坐家中货发全国。在进入绿色经济的新形式下，振隆物流立足于市场，在激烈的市场竞争中经受著重重考验；秉承“为客户创造价值”的经营理念，汇集中西文化，汲取先进的物流管理经验，制定出新的创业目标。以“优质服务，求实创新，诚信为本”为宗旨，不断提高物流运作的可靠性和客户满意度，使企业受到广大客户一致好评，成为许多著名企业的战略合作伙伴。展望未来，我们将以良好的精神面貌，崭新的工作姿态大胆探索，勇于实践，迎接未来新挑战，打造物流行业新航母。上海振隆物流地址；闵行区都会路放鹤路351号电话；021-54131372传真021-33580040手机；杨先生
苏州中骅物流有限公司吴中分公司,中骅国际物流有限公司。总部位于上海，公司成立时间是2007年7月9日，正式开业时间是2016年7月1日。公司以信息化和专业化运营为核心竞争力，结合长三角区域高效的配送网络与卓越的铁路干线运输优势，打造长三角区域内部零担快运、落地配与跨区域间公铁联运新模式。国内货运代理，海上国际货物运输代理业务、陆路国际货物运输代理业务、航空国际货物运输代理业务，仓储服务（以上范围除危险化学品），从事货物及技术的进出口业务。
育鑫物流有限公司,普通货运，上海到南通，济南，德州专线直达，南通到济南德州专线直达??专业三方管理
上海市林海物流有限公司,公司简介林海物流有限公司，森林般的网络，海洋般的覆盖。首先感谢您以及贵公司愿意更深层了解我们，您的勉励将是我们进步的极大动力。上海林海物流有限公司，经工商部门和陆管处批准审核，于2008年4月份成立。公司坚持以诚心、诚信、诚意、客户至上为服务原则，力争为广大客户提供最优质的服务。上海林海物流有限公司自成立以来，以优良的信誉、优质的服务赢得广大新老客户的信赖和支持，使公司的业务得到不断扩大发展。公司拥有一批经验丰富和多年从事运输服务行业的优秀管理人员和工作人员，采取独特的现场运输安全装卸管理模式，且对员工有着更加严密的管理制度，使得公司程序规范、运作有序。业务介绍我公司专业提供国内道路、航空、铁路物流、第三方物流仓储管理服务。大件运输简介公司承运各类大型，特种物件，超长、超宽、超高、超重，等大型货物运输业务。大件运输主要经营有，矿山设备、机械设备、电站设备、航天器具、核电设备等其它特种物资运输，并提供特大不同吨位起重吊机，美亚货运保险全程保驾护航。大件运输装备一、奔驰牵引车一组540匹马力。二、液压平板车(尼古拉斯上海水化工机械厂组装)十四轴(850轮脂)载重350吨。三、斯太尔牵引车420匹马力四台，380匹马力四台，320匹马力六台，280匹马力八台。四、特种低平板车(长21米，宽3.3米，高0.85)可载重80吨，六台。五、特种低平板车(长24米，宽3.3米，高0.6米)可载重100吨，二台。六、特种低平板车(长14米，宽2.6米，高1米)可载重30顿，四台。七、汽车吊，50吨一台。八、汽车吊，25吨一台。公路整车货物运输：针对生产制造企业客户的货物大批量大吨位特点，采取公路运输，实现门到门服务。综合物流：根据大客户的物流需求，量身定制的整体物流解决方案并提供实施运作。它是整合佳怡物流的内部运输资源与外部社会资源，以供应链的视角，为客户提供专业的综合物流解决方案，并提供全面、个性化的一站式服务。目前其产品以物流解决方案策划能力和整合采购能力为两大核心竞争力，实现供应链的价值最大化。现公司经营：上海、嘉善至广州、深圳、东莞、成都、重庆、宁波、慈溪、温岭、临海、温州等特色道路专线，并代理全国各地物流业务。公司可每天可调动大小车辆300余辆，按客户需求可提供厢式、平板、半封闭、高底板等各式样运输车辆，运输网络辐射全国各大中小城市，具有较强的运输实力和竞争能力。随着公司业务的不断扩大，也为了更方便的服务广大客户，公司在浙江嘉善特设仓储基地。基地占地面积200余平方米，位于嘉善市魏塘镇南星路一号，善江公路旁，距320国道不足2公里，地理位置优越，交通便利。基地集货物仓储、分流、配送（超市配送）、包装等功能于一体，可为广大新老客户提供更加便捷安全的服务，欢迎广大新老客户莅临指导。公司优势一、我司自身高标准要求(1)始终提供24小时的全天候准时服务。主要包括：保证操作人员及双方有关负责人通信联络24小时畅通，保证配送车辆24小时运转，保证配送中心24小时可以提货，门到门服务运输。(2)服务速度要快。对提货、操作、配送都有明确的规定，时间以小时计算。(3)服务项目多。通过发挥公司系统运输网络的优势，提供仓储、配送、等全方位的物流服务。(4)信息反馈快。做到对货物的随时跟踪、查询，掌握货物运输的全过程。二、个性化物流服务的具体做法(1)制定科学规范的操作流程。我司自成立以来开始设计并不断完善业务操作规范，并纳入了公司的程序化管理。对所有业务操作都按照服务标准设定的工作，先后制定了仓储、配送等工作程序，每位员工、每个工作环节都按照设定的工作程序进行，使整个操作过程井然有序，提高服务质量，减少了差错，杜绝事故的发生。(2)降低成本的服务。设身处地的为贵公司设计最低成本的物流服务方案，在竞争激烈的市场上才能占有一定市场份额，获得更大的经济效益，同时满足贵公司最优质的服务。(3)提供24小时的全天服务。针对贵公司24小时服务的需求，实行全年365天的全天候工作制度，周六、周日（包括节假日）均视为正常工作日，对操作人员进行必要的调整，合理安排车辆，确保全天候的运转。
上海凤昕物流有限公司,道路运输陆路国际货物运输代理，仓储服务，装卸服务，五金交电，日用百货销售。
上海货运公司,上海友存物流有限公司（www.021shycwl.com）成立于2004年，是经上海市政府有关部门审批，核发《营业执照》《道路运输经营许可证》《税务登记证》等相关证件取得合法经营资格。是手续齐全信誉良好的运输企业。友存物流的业务覆盖西南、华南、华中、东北等地区的大中城市。100多个服务网点覆盖国内三十多个省会城市管理超过6500平方仓库和680余量运输车辆。备有各式箱式货车、平板车、半封闭车，车箱长度分别为4.2米-17.5米不等。货物年承运量百万吨。另配有特种加长车和低平板车等大件运输车辆。现公司已形成集公路运输、航空运输、海运运输、铁路运输、仓储配送、临时仓库出租、包装加工于一体的第三方物流企业。友存物流一贯以“快捷、高效、安全、合理”为经营宗旨，以绿色文化为可持续发展理念，提倡绿色包装，选择绿色运输策略推行环境友好工艺，通过改革运输、储存、包装、装卸、流通加工等物流环节，达到降低环境污染、减少资源消耗的目的。合理利用现有资源，提高环境质量，满足日益严格的环保要求。为了不断规范、强化、扩大企业品牌意识，逐步树立友存物流品牌在客户心目中的“绿色物流”、“环保物流”的企业形象，我们分别为客户建立了档案，接受客户电话来访、业务咨询、跟踪回访，接受客户反馈意见和建议。引入计算机管理和自动化库存管理等系统。现拥有客户数量达700多家，签定长期合作协议的客户260余家。友存物流拥有一支素质优良、精通运输业务的专业人才队伍，细心关怀货物运输的每一个服务环节，多年来专业化公路运输经验的积累，逐步完善出了具有一定的较为科学严谨的管理经验。在公路运输行业特点的实践中形成了一整套经营管理方法。使得友存公司运转良好，保持了稳定、持续的发展；友存公司将与时俱进。在充分发挥利用以具有的管理经验和经营优势的同时，提升服务质量；把握好经营战略上的市场定位。公司再未来的发展中将以一流的服务与各界新老客户友好合作，携手并进，共同创造美好的明天。我们将以饱满的热情，超强的服务意识与您进行沟通与合作，珍惜您的每一次重托！相信我们的强强联合将使我们的商路越走越远!
上海诺德货物运输有限公司,在全国各大中小城市设有分公司，签正规保险合同，保证货物安全，准时到货专业承接：上海至全国各地货运轿车托运长途搬家大件运输仓储包装等提供：空车配货，包装配送，仓储中转，代办保险，货物门到门等一系列服务
上海佳合国际物流有限公司,"上海佳合国际物流有限公司成立于2009年,公司集公路物流,大件物流、航空物流,木制包装,仓储等服务为一体的上海物流公司.上海到新疆货运公司坐落在上海市嘉定区占地面积二十亩,仓储面积达5800平米，市内提货车量80部，长途物流车辆100部。整车零担，天天发车。上海到新疆货运公司成立之初制定的＂诚信经营、顾客至上＂的经营理念一直延续至今；永远把顾客放在好的位是我们矢志不移的服务宗旨，我们将用我们*大的热情为您提供最完善的服务．携手佳合人，真诚到永远！地址：上海市嘉定区黄渡镇联西路72号上海佳合运输有限公司最最专业上海到新疆货运专线大件物流、小件物流整车物流零担物流服务全国。携手佳合人，真诚到永远！"
虎泰,虎泰流有限公司是一家集货，行李托运，专线运输，长途搬家，小件快递，小件货物配送，货物包装为一体的物流服务提供商。我公司以坚实的基础，雄厚的实力为您提供优质的货运服务，运输服务网点遍及全国各大中小城市，联运联接东北、西北、华南、华北、中原地区的各大城市，与近百家物流企业建立了长期稳固的货运关系。凭借公司规模经营优势，专业化快递运作，有效为客户节省综合物流费用，减少库存，降低风险，本公司愿与市场同步，与客户共赢，今后我们继续“想客户所想，急客户所急”真诚为广大客户服务，力求为客户提供专业、优质、安全、便捷，全方位的运输服务，合理的价格，手握手的承诺，你的满意是我们***终的目标。公司全程上门服务，公司专员负责开单，跟踪追询货物运输状况，并将相关信息及时反馈给客户，对客户提出的疑问、投诉及合理要求在时间给予准确答复和处理。公司宗旨：尽我所能，广争市场；尽我所力，服务周到；尽我所诚，取信客户。质量方针：对客户用心，让客户放心。
上海企泰物流有限公司,上海企泰物流有限公司，前身是成立于2001年的上海一家物流服务公司。目前，上海企泰物流有限公司是一家集国际货运代理、国内运输、配送、仓储中转、储存、分拣包装、国际多式联运和物流方案设计于一体的综合性第三方物流公司。公司致力于为国内外生产型公司、大中型流通型企业、产品行销全国的大中型生产企业等提供全面的供应链物流服务。经过十多年来的不断发展，目前公司形成以上海为中心，以苏州、无锡、南京、杭州、宁波等地为支点，以北京线和广东线为主线，覆盖江、浙、皖泛长三角洲经济区各省、市，辐射除西藏自治区外全国三十个省、直辖市、自治区。
上海酷武供应链管理股份有限公司,上海酷武供应链管理股份有限公司—精细化供应链服务、电商ERP+WMS软件输出、全国仓配运综合服务。酷武股份是由神州通投资集团于2010年4月8日投资成立的，在物流行业中为数不多的一家专注为B2B、B2C领域客户提供一站式供应链管理的服务商。上海总部位于青浦区明珠路838号恒润大厦，注册资本为人民币5000万元。我们的主要业务是为企业提供电商ERP+WMS软件支持、代建仓、定制仓、库内加工分拣、资金服务、管理输出、电商代运营、数据分析、保险索赔、物流配送及售后等多项增值服务。酷武股份目前在全国运营20多座现代化仓库，仓储面积超过200000平方米，公司的所有库区由世界著名的仓储软件－曼哈特（Manhattan）仓储管理系统及独立研发的云仓宝ERP+WMS系统运营管理并实行全程条码监控管理，并在库内配备了各型货架，先进的无线条码扫描*、无线读取系统、自动包装流水线、电子标签拣货设备、无盲点24小时录像监控，高档的防尘、防静电环氧聚酯漆地面，可实现24小时不间断订单生产处理，拥有高度灵活的生产弹性，可从容应对客户的订单高峰、低谷时期，并能在“多仓库网点就近服务客户”的理念上为客户提供最精益的库存管理和最有效的快递成本管控。公司日均产能可达5万单，峰值产能为40——60单。公司的团队拥有多年的B2B、B2C仓储配送、分拣包装、精细加工以及快递管理的经验。公司成立伊始即与国内最大的电子商务公司淘宝网达成战略合作伙伴关系，并凭借着专业的物流服务迅速成为淘宝网领先的指定物流提供服务商（TP），为众多商家和电子商务公司提供仓配一体的一站式物流服务。客户涵盖化妆品、3C数码产品、服装首饰、快速消费品等行业，包括联合利华、法国迪卡侬、中国电信、中国移动、韩国乐扣、日本Kinohimitsu、米菲兔等；同时，酷武物流凭借着持续不断的努力同包括淘宝网、京东、亚马逊、易迅、一号店、苏宁等大型电商企业有着全面良好的合作。我们的优势：依托集团公司（上市代码002416）的强大支持和坚强后盾，遍布全国的仓储及运输网络，实现门到门物流。快速订单响应处理能力及大批量SKU运营能力现代化的仓储设施和系统支持自研云仓宝ERP+WMS系统，为入仓客户免费提供电商操作系统运维支持先进的物流管理系统：酷武采用先进的Manhattan物流管理系统，对应万级以上数据量，并可通过电脑、手机实时查询每天订单运作情况。基于规模化的成本节约，上海拥有3座高现代化仓库，仓储面积超过40000平方米，全国拥有近20家现代化仓库及物流中心。具有多年的CRM、数据化营销、呼叫中心、B2C物流经验的团队人性化运作模式，高度灵活的生产弹性从容应对客户的订单高峰、低谷时期，并能在“多仓库网点就近服务客户”的理念上为客户提供最精益的库存管理和最有效的快递成本管控我们能为您节省：系统软件成本、软件维护费、仓库建设费、仓储硬件费、人员成本、公司运行费……我们的营运数据：库区面积：200000m2订单响应：每5分钟运行一个波次平均每天订单处理量50000件/天，峰值可达400000单/天6小时发货率：95%24小时发货率：100%库存准确率：99.99%以上发货差错率：0.01%将您专业外的工作托付给专业的我们来处理！我们愿成为您长期、稳定、可靠、高效的合作伙伴！为您企业的腾飞—助力！恭候您的垂询！上海酷武供应链管理股份有限公司
上海广齐物流有限公司,上海广齐物流有限公司专业承接上海至全国货物运输业务，本公司自2001年正式在上海成立目前拥有20台大小车辆，秉承为各大厂家提供服务
江西安泰物流有限公司,"安泰物流是一家以危险品物流为特色服务，致力于为客户提供供应链一体化服务的第三方物流企业。公司创建于2004年，注册资金贰仟玖佰万元。公司自主拥有各种车型的长短途货车400余辆，可承接全国各地的整车运输、危险品运输、仓储、配送业务。公司以长三角、珠三角为依托,已形成辐射全国的运输服务网络，已在苏州、上海、无锡、昆山、东莞、广州、深圳、惠州、北京、天津、南京、长沙、南昌等各大中城市设立分公司或办事处，长途运输通达80多个城市、短途配送覆盖珠三角、长三角等各大区域，线路覆盖全国300多个城市和地区；完善的服务网络确保为客户提供准确、高效、安全的“门到门”运输服务。"
上海汇品物流有限公司,"上海汇品物流有限公司是一家总部设在上海的国内领先的冷链运输及仓储供应链管理服务公司。公司业务覆盖生鲜电商物流托管、冷链快递、第三方物流、物流增值服务、仓库租赁等领域，通过整合内外物流资源，提供""一站式""综合物流服务，满足客户对物流配送的个性化需求。公司专注于冷链物流的经营和发展、坚持用专业的精神支撑专业的服务、用专业的服务打造专业的品牌、用专业的品牌树立专业的形象，先后与知名企业安徽丰原食品有限公司、雨润食品有限公司、惠洲实业有限公司、深圳葳柏贸易商有限公司、广州百旺有限公司、肯德基食品有限公司、清洋进口海产品（上海）有限公司、星巴克食品有限公司、沃尔玛超市、家乐福超市、澳美牧歌有限责任公司、盐城绿华食品有限公司等建立了良好的业务合作关系，赢得了业内的广泛认可和社会各界的高度赞誉。公司目前自建冷库25000㎡，常温库面积29000㎡，公司拥有2吨、5吨、8吨、10吨及40英尺冷藏集装箱40余台，拥有新能源小型冷藏车50多台，可控车源200多台。公司能安全、快速提供冷库仓储、货物包装、分拣配送、信息流转、动态仓储等一体化托管服务。公司秉承“承载信任、助力成功”的服务理念，保持锐意进取、注重品质的态度，强化人才战略，通过不断的技术创新和信息化系统的搭建，提升运输网络和标准化体系，创造最优化的运载模式，为广大客户提供安全、快速、专业、满意的物流服务。一直以来，公司都致力于与员工共同发展和成长，打造人企双赢。"
远成快运有限公司,承接冷链，海，陆，空，各种运输货物，远成诚信为你服务，专业度和时效是我们的特色，快到让你窒息，诚信到毫无顾虑。
上海保升物流有限公司,"上海保升物流有限公司,是一家专注于定制化物流装备及物流管理解决方案的综合服务集成商，同时也为国内外知名物流装备品牌提供最专业的电子商务渠道。不同于传统的电商平台，保升物流装备是国内唯一一家物流装备O2O平台！坚守品质管理体制，为客户提供高品质的产品，不断实施标准化的理念，坚持不懈地致力于产品开发和规格型号上的扩充，形成丰富的多样行产品线，服务于广大客户。保升将用户体验放在经营的第一位，通过线上平台www.bswlzb.com为国内外知名厂家提供优质的产品展示和销售渠道，所有平台内品牌及产品均经过保升物流装备认证，从源头把握装备质量；客户可以登陆平台利用强大便利的搜索引擎，从数十万个品类中迅速找到符合自己需求的产品，同时保升在全国范围内配备专业的客户服务团队，在区域范围现场考察供应商资质，到达用户现场实地调研考察，结合实际业务需求提供完整的定制方案。公司在全国各大城市设有50个团队200名专业的客户服务团队，100%上门服务，根据客户的产品属性，分享渠道，载重尺寸，包装特性，量体裁衣整，为各行业客户提供最精准经济的定制服务。目前保升已成为众多全球及中国本土知名企业的重要合作伙伴。"
上海佳聚物流有限公司,"上海佳聚物流有限公司是经上海市政府有关部门审批,核发《营业执照》《道路运输经营许可证》《税务登记证》等相关证件取得合法经营资格。并与中国太平洋财产保险股份有限公司——上海分公司合作，为广大新老客户提供保险服务。公司是在上海经营多年的一家老牌运输公司，自从进入上海运输物流市场以来，已经取得一定市场份额，并认真遵守法律、法规和企业经营理念，不断进行公司内部管理机制的提高，以科学化管理促进公司的健康发展。公司运输区域已遍及全国各大省市、自治区。并在一些大中城市设立办事处，我公司专业从事上海至全国各地零担、整车、运输业务。备有各式箱式货车、平板车、半封闭车，车箱长度分别为4.2米——17.5米不等。另配有特种加长车和低平板车等大件运输车辆。用心地为你服务到全国各地的每一个城市及角落，您只需一个电话，剩下的事我们来做，以优质的服务，换取您对本公司的信任与支持。"
上海百生物流有限公司,本公司前身是江西省抚州市汽运公司驻上海办事处，为拓展营运业务、解决车辆回程配载、更好地服务上海市场而组建的运输机构。■营运车辆：大小车型平板厢式■代提代送、代办保险、全程跟踪◆诚信经营互惠互利◆
上海鸿马物流有限公司,上海鸿马物流有限公司成立于2013年，是由上海市交通委员会批准，经工商局注册的专业从事国内公路运输、货物仓储、大型超市配送、市内短驳的公司。本公司有多种车辆可承接浙江地区长短途运输。长期以来，公司在实践与搜索中建立了一套完整的管理规章制度。公司创立以来深知以人才为本，以货物为灵魂的企业命脉。客户满意是我们永久不变的第一追求。公司愿在诚信互利的基础上与各界新老客户携手合作合同发展，为客户提供各方位有型的运输服务。公司利用现代化的管理理念和先进的IT技术，为客户提供经济、安全、全方位、多元化一站式的货运服务。本公司一直坚持奉行“诚信为本、服务至上、安全快捷、追求双赢”的服务宗旨。
上海孚汇货运代理有限公司,上海孚汇货运代理有限公司本着“客户至上，安全第一，诚信为本，快速周到”的服务理念。向客户提供全方位的货物运输服务。孚，诚信也，孚汇物流以“服务、诚信”之企业精神，不仅在规模上，更在服务品质上，向更高的标准而努力。希望广大客户与孚汇货运携手共同开拓新的市场，向全国客户提供真诚的服务。以诚待人是首要，唯此才能结交良友，合作才能延续。
上海鑫广物流有限公司,本公司是深圳到上海.苏州.无锡.往返专线.中转全国。希望新老客户支持本公司.价格最底.速度安全。公司拥有各类型号车辆50余部，及仓储。机动装卸为一体，可为客户提供“门对门”服务。服务热线..
四川远成运输有限公司南充表坊街分公司,承接南充至全国各地的零担、装车、快递
上海谷秋物流有限公司,上海谷秋物流有限公司，是一家从事物流服务的专业公司，公司经工商部门、陆管处审批注册的一家独资企业，为客户提供全方位高质量的物流服务。专营上海到全国各地往返货物运输配送仓储一体化企业、组织健全、经验丰富、设施完善。是一家集公路、铁路、包装、轿车托运为一体的专业物流服务性企业，拥有2-30吨车辆有60余台，可调度车辆近200余台，并配有超过3000平方米的标准大型仓库和近6000平方米的场地免费为长期客户仓储。承接全国各地整车零担货物运输等货运服务。每晚8-10点准时发车，误时免收全程运费。提供门到门点到点的服务，一票到底，保价......
上海明乾物流有限公司江阴分公司,
杭州远成快运有限公司桐乡凤鸣分公司,远成快运是远成集团旗下组建的全新高端定制化配送服务公司.依托远成集团资源优势，以快递时效服务为标准，发展高端配送服务业务，结合多温控组合技术可最大限度的满足客户个性化配送需求。先进的配送理念，通过远成星级服务，最大的满足了广大客户的定制化、品质化、智能化、差异化、多元化配送服务需求.使命：配送领域的领导者愿景：成为中国最好的快运公司价值观：诚信、专业、品质、创新
上海润乔供应链管理有限公司,我公司是一家以铁路冷链专列运输为主体的专业化物流公司，致力于为客户提供最具竞争力的铁路冷链专列运输的物流解决方案。主要从事供应链管理，第三方物流服务，道路货物运输，冷链运输，铁路冷链专列运输，食品流通，货物运输代理，装卸服务，货物仓储（除危险化学品)，代理出入境检验检疫报检，货物及技术的进出口等业务。
上海万富物流有限公司,上海万富物流有限公司成立于2009年，注册资金100万。是一家提供全国运输服务及车辆挂靠业务于一体的专业物流公司。主营服务项目：整车零担、仓储配送、货物包装、叉车服务、设备装卸、货物进出口报关等地址：上海浦东新区上川路1501号5-6室（靠近川沙路）欢迎新老客户致电洽谈！联系人：闫先生手机：电话Tel:021-6868205568682065传真Fax:021-50341062邮编：201209邮箱E-mail:WFWLSH@163.com全国统一服务热线：400-8216-882
上海易中国际物流有限公司,易中国际物流，作为一家专业从事石油管道运输的第三方物流企业，拥有多种专业运输钢管的车辆，对外承接各种型号钢管运输业务。在与各类企业的长期合作中，造就了一支在物流、仓储、管理等领域具有丰富实践经验的优秀团队，对各类管型有一整套成熟的装载方案。我们创立的物流信息平台，实现了信息调度、途中定位、安全运输等全程化管理和监控，为客户创造着最大价值。
上海象脚物流有限公司,上海象脚物流有限公司创建于2009年。通过几年的艰苦奋斗，公司逐渐发展成为以公路快运、仓储、配送、物流方案策划等物流业为主导，铁路快运、空运、海运、联运等运输服务为一体的综合性企业。具备有“以公路快速运输为基础，铁路快运、空运、海运为延伸”的多层次物流网络服务体系。为适应现代物流的发展和市场的需要，随着中国改革政策对内陆地区的逐步深入，2005年公司决策以长江三角洲为核心向广大北方地区扩展的战略方针，于2005年在上海成立了阿搏魄货物运输代理有限公司，经过四年的发展和市场积累，为适应现代物流的发展，逐步塑造知名品牌，2008年年底集团决定加大投入将上海分公司升级改名为上海象脚物流有限公司。促进国家经济建设，为社会及制造、流通企业提供良好的物流服务是象脚物流的终极目的。为达此目的，公司内部不断完善内部管理机制，积极营造“以人为本”的企业文化氛围，聚合了一大批精通物流行业又具有优良素质的“象脚人”，从而使得象脚物流的客户能够享受到象脚物流的一流服务。经过锤炼的“象脚人“，将本着永远为客户服务的理念，踏踏实实地努力工作，以优良的信誉和服务，营造物流业界的名牌。
上海沪沂物流有限公司,上海沪沂物流有限公司是经上海市交委批准，国家税务局登记，集运输、仓储、配送等多功能为一体的股份制物流有限公司、注册资金500万元。我司提供上海地区至全国各地的整车、零担运输业务，天天发车。我司拥有各种车辆，如7.2米、9.6米、12.5米、17.5米、平板、高栏、半挂、超宽、超高、超重、集装箱、半封闭车等、随时可安排上门提货，我们将以优质的服务换取贵司的信任与支持。价格合理、准时派车。联系人：朱先生
上海承前物流有限公司奉贤分部,"上海承前物流有限公司是经交通、工商、税务等监督部门审批、签发《企业经营许可证》、《税务登记证》、《公路运输许可证》,是一家专业从事公路货物运输、铁路、航空货物运输业和仓储、包装（私人、公司物品搬场）配送的物流企业。是集大型仓库、停车、办公为一体的物流公司，受理全国各地整车、零担货运，代收货款、仓储、中转综合业务。公司服务网络以上海为基点辐射全国，足迹覆盖了100多个大中小型城市和周边地区，现拥有大型仓储供客户存货。备有各种大、小型、封闭车半封闭车、高护栏车、平板车、保温车、冷藏车、货车140多辆；以及不同种类装卸机械，能够接全国各地整车、零担、大件的运输业务。业务部24小时随时恭听您的来电，咨询运输价格、到达时间、车型使用、货物装卸及如何节约成本等一系列咨询服务；您在工作中生活中不必因为运输原因投入大量精力；专门成立的货物车辆运行售后服务部，每天6次确认车辆到达地方，部分车辆安装卫星定位系统，从而使您能准确的知道货物的运行情况；装卸服务，代收货款及您所需要的服务，我们可尽最大的力量满足您提出的各项服务要求。整车、另担当天可起运，如货物发生损失由本公司进行经济赔偿，提货有专业货车上门服务，贵重物品，有专人押车，一步到位。并且本公司与中保财产保险公司联合经营,可代办保险业务。承蒙承前物流广大新老客户的信赖和支持，本公司在激烈的竞争中经受住了重重考验，在市场获得了一席之地，并且获得了不断发展和壮大。上海承前物流有限公司将继续努力、开拓进取、求实创新为客户提供更周到、更贴心、更优质的物流服务！"
远成快运,"远成物流股份有限公司（YuanChengLogisticsCo.,Ltd.）(简称：远成物流）创建于1988年，注册资金3.05亿。通过二十多年的拼搏，业务遍及全国各区域，并逐步拓展国际物流市场，目前已发展成为集物流、资金流、商流业务为一体的现代综合服务企业集团。"
天地华宇物流,物流公司说到做到定日必达
远成集团,远成集团创建于1988年，注册资金3.05亿，经过近30年的拼搏，已发展成为多层次，广覆盖，独具特色的综合物流服务商，远成集团拥有员工人数近10000人，自有车辆近3000台，可控车辆5000多台远成集团是中国首批5A级综合服务型物流企业。我们的价值观:诚信，专业，高端，创新。
上海善本物流,本公司以运输仓储一体，和上海广电电气，上海通用电气，中集物流等公司有教会的业务合作，欢迎各位光临指导。本公司以诚信务实，厚德载物为发展理念。
